Sep 2017,40,Lovely Lisbon,A good comfortable hotel outside of the city center close to eateries and the zoo. A fabulous location so close to the station for both intercity and metro trains.A five star hotel in rating and does present well but the rooms are getting very tired and room service in particular was very patchy. Customer service though was excellent. Strange rules with the requirement to buy (8 euro!) ugly hair caps for the indoor pool ...not at all inviting.Some good cares and restaurants nearby but also very convenient to jump on the metro into town-warning many restaurants and cafes are not open on Sundays and Mondays...there is always the hotel restaurants although we didn't eat in these.
Sep 2017,30,a bit outside the city,PROS:beds very softtaxi stand right outsidegot nice view of the aquaducthas a safenice eating place with waterfalls and waterwaysCONS:located away from the city in the business districtbreakfast expensive ---- EUR 20 per person
Sep 2017,50,Great Hotel,"The customer service was excellent, the sleep quality also, and the breakfast was so rich and a lot of variety of food and drinks in it.we staid 6 days. it was a great eperience.the location is 10 mins from the downtown area.Staff are so friendly and they all speak english."
Sep 2017,50,Great hotel with nice rooms.,"Great hotel with all a warm and welcoming staff. The breakfast buffet was delicious and had options for everyone. This hotel is a little out of the way, but I can appreciate the distance from the busy downtown area. This hotel was right next to the metro, and had shops and restaurants within walking distance.  All in all a great stay."
Sep 2017,40,A hotel with a heart,"Our family of three stayed on our last leg of our trip to Portugal. This is a hotel that set the benchmark for the service a hotel should provide, which unfortunately is lacking in most of western europe. The staff and the service is catered keeping the guest in mind and not the hotel bottomline. The Check in was a breeze, and our room was on the 11th floor, looking over the aircraft pathway of lisbon airport, which never seizes to amaze. The Breakfast buffet spread was vast and very satisfying. Kudos to the chef, where in we requested them for some indian breakfast and the next day he had potato paranthas (as we are pure vegetarians) ready for us. Cant compliment the staff for their courtesy and promptness enough. Location wise, its a mixed bag as it is close to the metro, but i was not comfortable using the metro very late in the night. Anyway the city centre is a 7-10 euro ride away by cab, which i feel is a far better way to get there, plus ypu get to see the beautiful city also. The only reason i have given this hotel 4 stars is 1) The drape was stained2) The kettle was not clean( which i had shown the receptionist upon check out)3) Lack of plug points, which in this day and age is a necessity. 4)Pay parking, even though the hotel owns itWill not hesitate in recommending this hotel and looking forward to staying again."
Sep 2017,40,Good Food,"The location is not very convenience, but quiet at night. The room was clean with all the amenities I need. I like the tea provided in the room.I like the breakfast because of the variety of food, especially the local special (ham, cheese, dessert...).I also enjoy the dinner with traditional Portuguese dishes in the hotel."
Sep 2017,50,Lovely hotel,"We were most impressed with this beautiful luxury hotel where we stayed for 3 nights before a Mediterranean cruise. Everything about it was faultless   The room was perfect, the staff all excellent , and the breakfasts delicious.  We enjoyed eating breakfast outside on the terrace. The hotel is located out with the city centre but there is a nearby metro station, with a very frequent easy to use service"
Sep 2017,50,"Very, very nice hotel with very friendly staff","We stayed for 5 nights at the Corinthia and we had a wonderful time there. Clean and complete room, everything you could need was there. The breakfast was amazing and more than complete. Swimming pool, spa, location, everything was more than we expected. Near the subway, so in no time you can reach the city center. We can recommend this hotel to everyone, it is a wonderful experience staying at the Corinthia."
Sep 2017,50,Guest of the day,"Me and my husband were thriled to be anounced that we were chosen as ""Guest of the day"" when we checked in. Which gave us free access not only to the spa area, but also to the executive lounge and we were also upgraded to a junior suite where we jad a fruit basket, some pastries and a bottle of Porto wine. We loved the surprise and found our stay very pleasant.The hotel staff were very nice and helpful. I only found it odd that you have ro pay for the parking."
Sep 2017,50,Luxurious Hotel with fantastic staff & facilities,"The hotel's location is pretty good. It's not in the cultural center but a few stops away from the subway and the subway is extremely close and also there's a railroad station and most buses come nearby so you can pretty much go anywhere easily. You do appreciate the fact that it's not as crowded with people as the cultural center as it is quieter.The hotel itself is really luxurious, the rooms are very spacious, all is clean and very quiet.The most fantastic aspect of the hotel is the swimming pool and the spa. The spa itself is amazing and the staff is so kind.Will definitely go back there if I come back to Lisboa."
Sep 2017,50,great value; not in the city center but next to the metro and cabs are inexpensive,"great value; not in the city center (about 2 miles away) but next to the metro and cabs are inexpensive. nice hot baths. nice indoor pool; caps required. helpful management, worth it's five stars. gave us an upgrade."
Sep 2017,50,Perfect stay,"Very friendly and helpful staff in the excutive lounge. Good breakfast. Nice spacious and clean rooms. Bar and terrace are very cosy they really invite you to stay their for an ""long drink"". Hotel is good situated in Lisbon close to train and metro station."
Sep 2017,50,Portugal Wedding and Tours,"The main objective of my trip to Portugal was to attend a wedding in South Portugal ... SEISEMBRA.. a church in Espichel..  I stayed at CORINTHIA to do my Tours . FADO and dinner nite.  SINTRA , Pena castle .  Fatima, OBIDOS, Nazare and BATALHA ."
