Oct 2020,30,Disappointing,"I was moved to this hotel as the one I had booked was closed for Covid 19. With it being 5 star I expected the best. Sadly, this hotel is more like a 3-star in terms of comfort and facilities.Here are the shortcomings:Two tiny outdoor pools with hardly any space to swim. So disappointing.Doors bang shut when guests come and go.They put me in a room with a balcony overlooking the car park. Needless to say I did not use the balcony!All guests during Covid put in same corridor meaning a lot of noise. Guests should have been spread out as hotel was almost empty.Thin walls in rooms meaning I was frequently disturbed by people in next room talking.Breakfast service was uncoordinated and inefficient. Breakfast was poor for a five-star establishment. Bread and croissants not fresh at all. Hot food mediocre. No menu so I had to guess regarding what was on offer. Orange juice was excellent. Coffee average.Kids allowed to run around, approach guests and scream during breakfast.Hole in towel.( See photo)You pay extra for everything. I could not use the indoor pool or spa because you pay extra for this! The original hotel I had booked (their sister hotel) would have allowed me to use the indoor pool facilities for free but in this place you pay extra for everything.Noise is someone dragging things along the floor every afternoon on floor 3. This disturbed me immensely in my room on floor 2.Shower facility in room was like that of a 2-star hotel. Just a shower in a bath that you stand in. Water pressure pretty poor.Room decor was acceptable but the curtains were hideous.It was October and the heating did not work in my room. A technician had to come to switch it on! Why was it not on in the first place?Positives:WiFi goodBBC1 availableEasy access to beachFairly genuine welcome on arrivalBed quite comfortableOrange juice good"
Oct 2020,50,Lovely Hotel,"Stunning hotel in an amazing location. All the staff were helpful and friendly and food was varied and delicious. The spa is wonderful also.It was very quiet which is a real shame however all staff were very attentive and friendly, and the hotel worked out ways to accommodate all needs even with certain areas closed. I just wish the pillows were bigger."
Sep 2020,50,Beautiful hotel,"This was our first holiday during the pandemic. We booked our holiday about 9 days before we left.Our flights we booked direct with Ryanair and the hotel through Expedia.We were able to get a direct flight from Aberdeen to Faro and the flight is just over 3 hours.What to expect at Aberdeen Airport.  At the time of writing this the only things that were open was Duty Free and The Tippling House restaurant. The airport felt very safe and there wasn't a lot of passengers going about even with two flights leaving at the same time.Our flight was about 80% full.  They are still serving food and drink on the plane.  You are not allowed to wait in line for the toilet.  You have to press your buzzer to let the air steward know that you need the toilet, they take a note of your seat number and let you know when the toilet is available.  Which worked well.At Faro Airport they will ask you take your mask off at passport control then you put it back on.  They never asked for the passenger locator form that we filled out. Getting through Faro airport was very quick we were out and cleared within 15 minutes.We took a taxi to the hotel which cost less than 50 euros.You can either turn left or right when you leave the hotel and there is plenty of restaurants, bars, pharmacy and supermarket.We stayed in room 108 which was clean, comfortable and spacious room which looked onto the beach.  In the room you given two bottles of water if you want more water then you can order it through room service.  There is a coffee machine.  There is also toilletories in the room.  You can also get your room cleaned daily.  We just hung the sign outside the room. There is a hairdryer in the room. Breakfast is served from 8am to 11am.  You are taken to your table and served a continental breakfast but you can also order a cooked breakfast.  The food was delicious.There is 3 swimming pools.  The sun beds are santized. You are given two cards when you check in to collect your towels at the pool.There is a pool bar where you can order food and drinks.People don't wear masks when there sun bathing but do wear them when there walking about.There is a steakhouse. We didn't eat here but we did enjoy watching the sunset here.There is the Atlantis restaurant which us located on the beach.  You can't charge anything to your room from this restaurant. But all other bars and restaurants you can charge to your room.We ate at this restaurant 3 nights in row.  The food was delicious.Also when you check in you are given a key card to access the beach.You can hire a sun lounger on the beach which cost 10 euros.The beach is beautiful. The beach is not sectioned off for social distancing and people are not wearing masks.I would recommend this hotel."
Sep 2020,50,Incredible hotel with perfect ocean views,A great hotel right by the beach. The outdoor pool is great and we loved the ocean views from our balcony over the ocean.The staff is extremely kind and always ready to help.We had dinner with friends at their Steakhouse and we truly loved it. Delicious food and the sunset views over the ocean was probably the highlight of our stay.Highly recommended hotel.
Sep 2020,50,Great stay by the beach,"We stayed at Grande Real Santa Eulalia Resort for 2 nights and we love it! They have an amazing outside pool perfect to sunbathe and relax during those hot summer days. The beach is located right in front of the hotel and we could see it from our balcony. There's plenty of restaurants by the beach  but our favourite was the steakhouse restaurant located at the hotel. We had one of the best meals  ever, the meat was very tender and juicy and the chocolate caramel mousse was the simply amazing. We loved our time here  and we can't wait to be back again."
Sep 2020,50,Excellent Holiday,"We were moved to this hotel by our holiday company as our original one was not available for some reason.We were not disappointed. This hotel was excellent. On arrival we were allocated a ground floor room which i did not fancy and asked if we could have a higher floor, no problem as the staff at reception fixed it for us in minutes. All the staff took the Covid rules in a very professional manner so no worries here. Every one we came into contact with were very pleasant and nothing was too much trouble for anything we needed. A big thank you to them all.  I did like the idea of going for breakfast, sitting at your table and the staff fetch anything you want, Brilliant service, food was excellent. We did go to the beach club and found the private beach a big bonus. However just a bit of advice to newcomers you do have to pay for the sun beds. It costs 10 Euro for half a day or 20 Euro for a full day! Nice little earner if you have fifty beds!! All the staff again at the club were very efficient and friendly. Hotel is spotless which is a credit to all the staff involved. Thanks again."
Sep 2020,30,The closest to the beach you will get,"What I loved in this hotel was that it was really close to the beach with easy access if you have kids or elderly people traveling with you. If this is important for You, then this is the best hotel in all Algarve for it. All other hotels are more Distant to the beach or have lots of stairs to access the beach. Another great thing is that they serve food and drinks in the sand if you rent some chairs. The service and the food are just ok (don't expect a 5 star service), with little variety and everything is a little bit outdated (what is ok for me)."
Sep 2020,30,Hotel in good location but some issues. ,"We were in the self catering rooms which were a bit dated.  The hotel is in need of some renovation .Some issues with staff service  who appear to forget they work in a 5 Star hotel. I particularly did not like being told to get a towel myself from the other pool some distance away, when stocks were exhausted despite there being a phone beside this attendant. And having just walked from there as there were no sun beds. Not enough sun beds or towel placement control round the main pool at all. When numbers in the hotel declined this week beds were then removed making the situation no better. Room not cleaned on last day, yes mistakes can happen but we called at 6.0pm and were told an hour later a cleaner would attend while we were out. Returning at 11pm no room clean and had to call for fresh towels. Service in all bar areas slow and having to repeatedly ask for service, or bills is not good. Covid controls very good and all staff adhering. Health suite staff excellent. The hotel is in a great location but falling short of 5 star status unfortunately."
Sep 2020,50,Perfect break despite difficult times.,We are coming to the end of our week here. We felt anxious about travelling but needed a break. This is a quality hotel. We had a sea view room. Spacious and well equipped. The hotel is ideally positioned on the beach. Pool areas lovely. I also paid a small fee to enjoy the amazing spa pool- pre booked and only me there. We are on full board. The lunches by the sea are excellent particularly the fish and the breakfast and dinners in the restaurant also. I particularly wanted to post now to say how impressed we are by the hotels response to the current situation. The staff are meticulous in wearing masks and keeping everywhere and everything spotlessly clean and disinfected. We feel safe and will cared for. Thank you we hope to visit again when masks aren’t needed.
Aug 2020,20,Ok but the worst 5 star hotel I’ve visited ,"Slow expensive room service, rubbish cleaning and lots of excuses things were closed due to the dreaded. I’m sorry but at this price you expect a shower post check out and a decent cocktail. The staff were friendly but I’m sorry €12 for an sandwich on rubbish bread"
Jul 2020,40,Family holidays,"Very nice hotel with an excellent service in restaurants and bars. The rooms, in your case, the suite was clean only the air conditioning is from time to time no working very good. Pools are very nice also the beach is only a step away. The animation is very excellent."
Apr 2020,40,family holiday,recently visited this hotel. with location being key we loved it. private beach access & within walking distance to beautiful restaurants  The only disappointing factor about this holiday was of course the corona virus was hitting portugal & places were going into lockdownTo us where the hotel fell down was lack of information they started closing down the hotel bit by bit without notifying the guests. Rooms stopped being cleaned. Had to go to reception to replace towels & get toilet roll etc. Spa was closed kids club closed beach bar had reduced hours.As I said all of this was happening around us with no communication from Hotel Mgt. This is not what you would expect from a five star hotel. I work as a travel consultant and I would be very upset if I had sent clients to this hotel to be treated in this manner  Obviously all was done for the staff & guests welfare but communicate to your guests. We had travelled fm Ireland  Saturday to Saturday & by Wednesday we were.looking for flights to go home as the reception staff weren't able to tell us of the hotel was going into lockdown & if we would be able to stay till the end of our stay. We were travelling with 2 children so needed some reassurance which we never received. I would love to visit this.hotel again & for them to prove ot is a 5 star.
Apr 2020,50,Our 3rd Visit for winter holidays,"My Wife and myself along with two friend returned here in Febuary 2020 we stay in the aparments in the grounds of the hotel.Thanks to the hotel staff we have had apartmeny 591 on each visit,but slight problem with damp in bedroom wardropes,we did imform the hotel on our last visit,not a big problem we used wardrope in other room.Shower gel and hairdryer in bathroom,small kitchen great for self catering everything you nice even dressing gowns.We all enjoy walking so we are out most days the weather this year was reaaly hot for the time of year,hotel right on the beach,great beach bar over looking the bay.Lots of pools around between apartments and main pool is heated,beautiful paceful place,,we will return,,Enjoy the geordies"
Mar 2020,40,Holiday,Enjoyed our stay which was interrupted by ther coronavirus infection which caused us to not take tours and move about freely.  Since this has nothing to do with our stay at your holiday which was very enjoyable certainly would not hesitate to recommend it to anyone looking for a lovely place to stay while on vcacation.
Mar 2020,50,Great hotel but Virus shut most things down!,"We were part of a group package for a longstay in this splendid property. For the first two weeks we enjoyed the grounds, the fun shuttle to town, our wonderful self-catering apt, the fabulous beach, the pool, the views, the great staff at reception and the brilliant staff and ambience of the Atlantico where the female servers were so friendly and capable-thanks Sara and Loiza and all the rest.When the virus fears hit all of Europe, we were quickly left without. Tour Manager and service after service shut down( understandably). Going home was a series of missteps and changes. We wonder if the hotel might have communicated a little more and offered some special take-out options. To be fair, this was a new experience for all and our memories of thenhotel staff are very positive,"
Mar 2020,50,very nice stay in the resort,"very friendly people, many thanks for the big surprise you granted me at the occasion of my birthday one week after arrival, especially remarkable and very usefull is the shuttle-bus-service to New Town and Old Town"
Mar 2020,50,wonderful trip,"This hotel is lovely for staying on holiday, it's near the sea and very silent, for people who search a good service is it excellent, we will stay again in the next time, you must have a car, because the hotel is outside"
Mar 2020,50,Hard to please,"We spent 5 nights at out new home from home. Honestly Grande Real Santa Eulalia is a great hotel, excellent  location and with great facilities. Right on the beach and amazing pool area. My partner and I stayed in a sea view room with a terrace. We had breakfast every morning which was excellent value for money.Staff all very friendly and helpful. Rooms very clean and cleaners are in every day even on days we're we wanted to chill in our rooms they came later to clean. Towels are provided for the pool area so no need to bring towels with you. As someone who isn’t easily impressed. At first sight, my partner and I were impressed with how stunningly beautiful the resort was. But we’re both on reserve on a few things. I told him my initial impression was a 7 out of 10 and he was a little on the fence and scored his initial at 5. Within moments of going through our luggage and discovering missing items we soon increased our scores to 8 leaving room for improvement. From the moment we woke up the following morning to the day we checked out it was safe to say the scores remained a firm 9. We would’ve scored a 10 but I’m hoping to experience this on my next visit. Well done to the Amazing front of house team (who genuinely look like they enjoy their job and working with each other), cleaning ladies (who were always so friendly and said hello in the hallways) and lastly the breakfast team, two of which really stood out for us. Caita Mota and Mario Lurking made breakfast enjoyable every morning.  I took the time to personally take down their names as they were both consistently warm and engaging with us. I will most certainly be staying at this resort every time I visit Portugal."
Mar 2020,50,Wonderfully relaxed,"My husband and I booked this hotel through a tour operator as a last-minute bargain and what a bargain we got! It's a really lovely hotel. Staff are fantastic and nothing is too much trouble for them. We had a one-bed apartment on the grounds and it was very spacious and spotlessly clean. We booked breakfast only meal plan which was a full buffet. There is direct access to a beautiful, quiet beach. We were there at the beginning of March so it might not be quite so quiet during the summer period :-)"
